0,2
1,4
2,0
3,1
4,5
5,6
6,24
7,45
8,31
9,0
10,1
11,1
12,6
13,11
14,24
15,44
16,67
17,15
18,87
19,113
20,255
21,141
22,310
23,599
24,790
25,1
26,2
27,0
28,12
29,1
30,12
31,8
32,36
33,32
34,34
35,81
36,78
37,85
38,92
39,243
40,268
41,90
42,8
43,60
44,205
45,299
46,151
47,341
48,849
49,776
50,3
51,20
52,36
53,73
54,83
55,5
56,15
57,52
58,85
59,194
60,337
61,507
62,657
63,13
64,38
65,15
66,61
67,178
68,139
69,18
70,17
71,11
72,38
73,22
74,14
75,60
76,93
77,122
78,116
79,220
80,581
81,616
82,276
83,269
84,331
85,2
86,14
87,32
88,155
89,145
90,428
91,583
92,762
93,63
94,455
95,858
96,1489
97,335
98,2094
99,923
100,1
